2196,15508,3080,-1434,-1157,332
2140,15636,3000,-1404,-1209,288
2056,15664,3064,-1435,-1223,256
2044,15768,3056,-1439,-1243,215
2024,15788,3360,-1467,-1222,155
2012,15716,3384,-1429,-1174,120
2088,15720,3284,-1384,-1133,38
2060,15620,3232,-1317,-1099,-76
1956,15452,3328,-1250,-1041,-269
1824,15400,3260,-1174,-1038,-501
1788,15308,3244,-1109,-972,-717
1776,15284,3192,-1070,-981,-978
1776,15120,3196,-964,-1013,-1228
1752,15248,3300,-899,-1006,-1496
1856,15020,3188,-835,-975,-1895
1832,15156,3188,-753,-868,-2297
1816,15120,3136,-729,-762,-2581
2076,15168,3088,-722,-604,-2846
2108,15268,3060,-743,-385,-3038
2084,15372,2940,-783,-90,-3094
1992,15356,2828,-770,154,-3100
1888,15288,2724,-673,320,-3149
1740,15260,2792,-513,382,-3254
1644,15180,2608,-321,292,-3290
1724,15460,2564,-144,21,-3215
1852,15540,2592,-10,-271,-3095
1856,15580,2396,65,-507,-2972
2060,15652,2156,54,-738,-2901
2096,15612,2236,108,-902,-2865
2436,15604,2100,154,-877,-2770
2496,15552,2320,174,-886,-2611
2524,15404,2316,294,-905,-2355
2672,15460,2348,402,-922,-2089
2924,15528,2152,585,-925,-1902
3044,15624,2048,797,-928,-1692
3236,15788,1912,1012,-827,-1460
3620,15792,1684,1188,-667,-1195
3868,15704,1512,1352,-317,-837
4248,15824,1504,1439,121,-439
4600,15792,1676,1595,634,-7
4760,15748,1904,1854,1145,526
5104,15828,1908,2164,1561,1110
5540,15856,1960,2429,2109,1782
5512,15708,2120,2551,2682,2595
5520,15724,2180,2657,3108,3622
5532,15728,2332,2794,3276,4857
5708,15796,2528,3012,3387,6163
5848,15972,2616,3318,3312,7480
6044,16288,2720,3722,3048,8714
6600,16748,2748,3977,2590,9913
6640,17036,3296,4033,2065,10973
7060,16632,3836,3907,1165,12096
7080,16348,4140,3896,240,13271
7076,16392,4444,4162,-642,14760
7488,16692,4108,4645,-1799,16137
7900,16972,3940,5147,-2762,17405
8444,17480,3980,5444,-3656,18587
9400,17924,4564,5556,-4637,19796
10276,18448,4972,5535,-5548,21156
11124,18852,4696,5671,-6943,22839
11184,19256,3848,5880,-8101,24382
11036,19572,2816,6176,-9258,25813
10448,19096,2440,7348,-11734,25192
10496,20284,-308,7635,-12878,27585
12228,20184,-668,7462,-14150,29828
14356,19452,-716,7787,-15195,30961
15512,19140,-1108,8725,-15734,31823
16524,18696,-1620,10073,-15676,32767
16888,18768,-2516,11232,-15738,32767
17532,18776,-3464,12027,-15630,32767
18696,18556,-4248,12436,-14655,32767
19652,17596,-4312,12697,-13290,32767
20592,16144,-3852,13206,-12305,32767
21272,14928,-2796,13916,-11477,32767
21760,14032,-2492,14511,-10547,32767
22404,13152,-1840,14524,-9499,32767
22720,12172,-2104,14442,-8619,32767
22736,11484,-2412,14548,-8137,32767
22976,10872,-3148,14604,-7636,32767
23096,10192,-3952,14327,-7018,32767
22756,9324,-4724,14392,-6230,32767
22480,8284,-5744,14889,-5501,32767
22160,7764,-7432,15414,-5242,32767
20596,7648,-7440,15720,-5325,32767
19580,7204,-8948,16800,-4150,32767
21756,6728,-9308,16460,-1433,32767
22656,5636,-9104,17062,2998,32767
22744,5164,-9680,17383,7158,32767
21956,5192,-10404,16610,10527,32767
19332,5180,-10736,15475,12719,32767
16176,4688,-10436,14503,14004,32178
14440,4216,-9932,13677,14505,32040
13352,3560,-9172,12614,14463,31424
11884,2388,-7884,11953,14325,30612
10504,1556,-7080,11046,13833,30194
9952,536,-7056,9710,12985,29939
