2796,15500,2692,-1320,-710,-622
3072,15548,2288,-1334,-542,-655
3544,15556,2448,-1410,-139,-806
3468,15520,2296,-1553,661,-941
2996,15400,2352,-1529,1506,-1004
2280,13524,4744,-761,2074,-1244
1312,16256,1804,-2729,2453,-2297
2180,14952,3476,-1954,2135,-1702
1936,14968,3232,-1368,1889,-1940
2068,15040,2884,-1144,1465,-1896
2264,15144,2796,-997,1084,-1789
2236,15328,2532,-921,669,-1645
2576,15304,2528,-855,220,-1491
2880,15284,2364,-778,-177,-1530
2856,15276,2144,-729,-360,-1425
3064,15148,2024,-628,-450,-1369
3056,14980,2032,-483,-516,-1303
3096,14788,2128,-238,-643,-1250
3324,14672,1852,23,-704,-1240
3628,14604,1648,316,-764,-1173
4080,14668,1568,633,-719,-1212
4508,14712,1736,932,-419,-1298
4832,14696,1448,1365,31,-1409
5128,14608,1664,1892,489,-1487
5372,14720,1812,2414,884,-1476
5668,14852,1896,2845,904,-1202
6272,15368,2104,3151,485,-499
7180,15568,2528,3330,-158,359
7624,16176,2556,3096,-450,1337
8212,16144,3048,3153,67,2866
8808,15924,2804,3395,1370,4620
9284,15604,2612,4016,3027,5948
9328,15484,2396,4606,4747,7304
9532,15804,2020,5009,6452,8920
9360,16452,1936,5336,7449,10488
9144,17000,1692,5640,7695,12095
8948,17748,1044,5696,7415,13818
9484,18040,1472,5431,6670,15101
9316,18412,2176,5167,5356,15640
9460,18680,2472,4627,4162,16414
10088,18620,2148,3872,3453,17574
10328,18468,2108,3482,2812,19237
10744,18236,1884,3817,2077,21052
11696,18484,1464,4308,1419,22648
12456,18588,940,4885,1347,23669
12164,19188,1676,6024,566,22791
13004,21088,404,4968,283,25132
13868,21332,1696,3925,138,27547
14968,21284,1552,3542,-184,29161
15448,21296,1344,3733,-3,30624
15584,21156,308,4029,-236,31934
15660,21180,-580,4201,-1248,32767
16072,21240,-896,4253,-2335,32767
17120,21168,-856,4295,-3948,32767
18208,20996,-180,4357,-5168,32767
19420,20596,456,4713,-5998,32767
