3568,15764,4168,-2939,239,-654
3560,15704,4048,-3042,294,-696
3452,15628,4040,-3116,229,-758
3196,15536,3648,-3201,19,-811
3224,15412,3812,-3311,-228,-890
3136,15376,3564,-3410,-455,-947
3344,15172,3896,-3410,-681,-1009
3404,15196,3576,-3395,-848,-1031
3412,15180,3628,-3409,-1022,-1070
3528,15256,3484,-3371,-1154,-1040
3556,15112,3216,-3371,-1296,-1007
3640,15104,3336,-3356,-1306,-989
3712,15128,3180,-3302,-1253,-958
3780,15072,3188,-3199,-1167,-920
3924,15116,3144,-3133,-1062,-889
4016,14972,3292,-3064,-872,-875
4052,14912,3144,-2964,-687,-805
4092,14992,3164,-2868,-398,-788
3992,15100,3068,-2777,-108,-750
4132,15076,3196,-2667,149,-716
3948,15028,3220,-2577,353,-666
3780,15088,3260,-2529,441,-649
3628,15072,3176,-2476,382,-563
3400,15044,3164,-2430,187,-417
3472,15036,3080,-2378,-93,-337
3372,14900,3252,-2329,-344,-257
3536,14824,3228,-2235,-500,-192
3588,14700,3372,-2105,-607,-136
3780,14608,3276,-1970,-569,-48
3828,14580,3220,-1802,-463,-15
3828,14604,3300,-1678,-295,29
3960,14492,3192,-1477,-129,48
3932,14532,2960,-1284,56,40
3888,14408,3056,-1120,209,7
3948,14476,2900,-914,340,-36
3884,14436,2852,-706,397,-84
3976,14364,2796,-501,504,-162
4044,14316,2668,-267,516,-227
4096,14192,2732,-3,630,-297
4172,14240,2448,283,767,-393
4224,14208,2312,551,909,-459
4288,14040,2348,874,1056,-502
4512,14112,2276,1279,1252,-549
4616,14040,2112,1659,1504,-636
4652,14016,2044,2097,1764,-717
4784,14124,1784,2489,2110,-793
4800,14248,1556,2865,2492,-839
4848,14372,1516,3198,2831,-863
4988,14508,1292,3519,3228,-822
5088,14764,1300,3843,3631,-786
5088,14760,1052,4127,3953,-715
5152,14788,1116,4415,4312,-504
5108,14880,1056,4663,4700,-248
5220,14868,1312,4887,5161,109
5468,15044,1368,5155,5715,538
5680,15224,1648,5451,6347,1118
5940,15340,1940,5740,7018,1817
6212,15448,2288,5978,7741,2681
6424,15672,2348,6196,8248,3697
6812,16088,2692,6438,8730,4785
6976,16876,2724,6609,9019,5873
7260,17732,3076,6741,9139,7033
7960,18436,3328,6439,9563,8311
8200,18320,4416,5900,9527,9749
8460,18136,5036,5293,9075,11255
8748,18308,5752,4624,9083,13161
9424,18644,6240,3677,8804,14904
10784,19644,7164,2629,8384,16618
10880,20068,8384,2058,7565,18792
12812,20008,9008,2176,7733,20798
15848,18780,10044,2518,9404,22046
14808,20708,9016,2891,12551,22371
14832,21868,7604,2427,16525,24613
15008,22228,7252,1490,19520,24927
12376,22308,6644,-487,20225,24977
8936,21704,7672,-2186,19384,26278
9064,21420,8256,-3795,17090,27991
8192,21316,8924,-5720,12565,28875
6456,20916,9400,-7157,5537,29854
6316,20724,7916,-8796,-2496,31115
7872,18976,8044,-10388,-8400,32767
10072,16412,8588,-10290,-12845,32767
11980,14000,8628,-9440,-15140,32767
12940,12916,8376,-7983,-16591,32767
14504,12132,6908,-7279,-18132,32767
16004,11172,6812,-5930,-19287,32767
16764,10628,5852,-4366,-20038,32767
16948,10220,5156,-2795,-20082,32767
18720,9656,3260,-1092,-19942,32767
19456,8824,2856,491,-18816,32767
20088,8204,1936,1891,-17579,32767
20660,7396,824,3182,-16273,32767
19892,7176,416,4684,-16450,32767
18100,8028,-1688,5168,-14812,32767
19060,6788,-1624,4919,-13512,32767
20144,6376,-2636,4735,-11610,32767
