7548,16032,2836,-50,1445,-2381
7520,16232,2924,61,2849,-2105
7132,16540,3136,97,4041,-1810
6776,16856,3228,55,4938,-1479
6264,17088,3268,-51,5465,-1029
5860,17260,2868,-298,5553,-528
5328,17404,2824,-596,5342,70
5068,17224,2564,-933,5086,715
4900,17172,2060,-1319,5034,1367
4808,16740,1780,-1579,5238,2034
4660,16360,1652,-1671,5595,2661
4504,15920,1568,-1580,6064,3273
4324,15788,1448,-1446,6534,3812
4072,15612,1112,-1342,6909,4302
3664,15452,1188,-1356,7137,4764
3296,15260,972,-1379,7041,5229
2828,15216,912,-1483,6638,5679
2496,15108,892,-1636,6037,6104
2492,15172,524,-1769,5229,6448
2476,15296,488,-1925,4354,6748
2628,15264,408,-2089,3432,7020
2584,15364,144,-2186,2609,7251
2844,15300,308,-2212,1855,7424
3080,15532,252,-2116,1256,7528
3284,15480,192,-1951,732,7525
3516,15464,168,-1742,342,7490
3696,15696,56,-1523,65,7440
3856,15792,172,-1293,-9,7396
4124,15832,208,-1066,-78,7267
4216,15640,104,-802,-14,7063
4288,15580,32,-531,140,6834
4404,15424,164,-240,398,6547
4396,15116,92,39,732,6250
4468,15032,132,380,1207,5939
4560,14984,244,711,1733,5557
4728,14800,36,1030,2358,5146
4708,15044,84,1317,3047,4831
5028,15112,-32,1518,3648,4554
5372,15332,244,1602,4238,4346
5464,15884,416,1673,4658,4408
5612,15904,172,1747,4852,4746
5772,16240,184,1821,5037,5362
6096,16500,76,1907,5198,6123
6448,16732,172,2077,5268,7076
6684,17092,24,2446,5396,8076
7032,17164,-40,3015,5513,9075
7116,17368,264,3625,5491,10103
7068,17748,456,4234,5227,11230
7092,18300,812,4906,4859,12537
7396,18864,912,5623,4211,13772
7960,19788,732,6194,3281,14967
8484,20796,824,6607,2121,16180
9108,21744,1004,6858,826,17641
9712,22212,1324,6965,-517,19154
10432,22340,1348,7095,-1700,20457
12164,21244,2120,7579,-3224,19616
11452,22032,176,7045,-3842,20695
11960,20592,656,6929,-4208,22694
12600,19104,480,7073,-4947,24121
13576,17524,504,7520,-5662,24759
13920,16104,152,7854,-6369,25068
13844,14896,-292,7946,-7228,25367
13936,13508,-392,8026,-8074,25527
14188,12184,-1820,7665,-7933,25770
14092,10484,-68,7816,-8122,25737
14452,9360,-528,8515,-9510,26082
14568,8184,-1352,8969,-11320,26508
14404,7564,-784,10166,-13783,27229
15724,6972,-2596,10313,-15084,28227
15812,6124,-2120,10112,-15882,29200
17184,5348,-2652,10261,-15731,29478
17096,3752,-3408,10169,-15753,30220
17860,2260,-3068,10576,-14110,30086
19452,620,-3204,11550,-10270,29500
18376,-408,-3848,12046,-6921,29507
19260,-1368,-3528,13482,-4233,29101
19448,-2024,-3392,15065,-2299,28290
18392,-2360,-2680,16375,334,27002
17180,-2488,-2772,17018,3860,25993
15124,-2928,-2948,16811,6838,25573
12540,-3204,-3788,16225,7136,26452
12236,-3612,-4540,16094,5073,26940
11768,-4024,-3832,17383,2022,27111
15132,-4672,-2588,19885,2456,24840
13908,-3560,-5112,20140,3935,24377
12368,-4160,-4020,18761,3927,24210
13000,-5228,-4448,18151,3345,23479
12096,-6200,-3996,18829,2490,22246
11492,-6624,-4408,19159,2064,21180
16872,-7840,-3920,20642,3448,17614
9360,-6904,-5824,22630,2732,16095
11572,-6320,-8576,16500,2107,16473
12672,-8584,-3024,19250,2226,13752
15284,-8860,-3548,21068,2732,9523
12780,-8740,-2188,25523,3361,5648
5508,-4500,-12728,19116,3194,11057
15492,-8744,-1732,16644,2603,7160
8296,-6988,-6460,19877,3349,7325
8908,-7892,-2180,19679,1922,4672
9732,-7392,-5684,19860,838,3226
7256,-6568,-3584,20643,386,2360
8232,-5996,-3848,18691,-1584,1219
8456,-5604,-2136,20698,-3337,-356
8828,-3996,-3028,20770,-2968,-1885
8680,-2852,-2180,20576,-2026,-3299
8528,-1676,-2792,19317,-1453,-4677
8588,-876,-2288,17623,-1356,-5966
8276,-320,-1228,16058,-2113,-7175
8084,412,-1300,14515,-3213,-8215
8456,1204,-1172,13043,-4196,-9386
9340,2184,-1360,11534,-5570,-10586
10008,3236,-832,9712,-7714,-11296
10644,4352,272,7989,-10669,-11325
11848,5420,-324,6039,-13347,-10890
