2024, 16380, 2720,-4118, -4178, -4636
2284, 16364, 2760,-4227, -3893, -4839
2524, 16536, 2600,-4358, -3507, -4977
2220, 16500, 2304,-4418, -3272, -5130
2100, 16440, 2104,-4463, -3186, -5306
2112, 16488, 2168,-4474, -3323, -5361
2196, 16416, 1948,-4441, -3484, -5365
2528, 16444, 1772,-4494, -3554, -5266
2640, 16460, 1680,-4511, -3558, -5148
3112, 15320, 2392,-3980, -3439, -5004
2812, 16940, 756,-5343, -3032, -5020
3420, 15684, 1608,-4662, -2906, -4667
3588, 15960, 1068,-4326, -2674, -4361
3960, 15952, 644,-4114, -2173, -4178
4128, 15940, 724,-3845, -1646, -3920
4132, 15892, 492,-3689, -1143, -3609
4180, 15896, 352,-3482, -737, -3326
4616, 15820, 416,-3250, -290, -3091
4608, 15744, 188,-3094, 91, -2822
4564, 15528, 72,-2815, 479, -2429
4772, 15376, -188,-2530, 868, -1992
5000, 15252, -200,-2176, 1252, -1554
4900, 15120, -312,-1815, 1604, -1101
5136, 14964, -568,-1477, 1979, -610
4884, 14768, -588,-1169, 2313, -148
5052, 14816, -652,-825, 2575, 307
5192, 14692, -812,-398, 2837, 781
5016, 14596, -668,-30, 3005, 1243
4728, 14568, -656,229, 2978, 1789
4656, 14820, -764,425, 2764, 2362
4116, 14816, -612,628, 2035, 3032
3804, 14940, -696,935, 731, 3935
3728, 15016, -712,1262, -930, 5106
4004, 14884, -616,1683, -2729, 6488
4572, 14844, -608,2247, -4458, 7997
5296, 14788, -488,2940, -5969, 9444
5976, 15036, -256,3718, -7305, 10807
6440, 15376, -144,4509, -8274, 12168
7176, 15960, -220,5095, -8919, 13299
7772, 16120, -212,5621, -9241, 14439
8252, 16140, -172,6179, -9444, 15498
8916, 16076, -396,6925, -9589, 16566
9624, 16248, -832,7767, -9689, 17628
10544, 16736, -872,8377, -9720, 18518
11428, 17184, -712,8767, -9238, 19230
11924, 17380, -616,8894, -8727, 20072
12516, 17392, -500,8907, -8173, 21161
13356, 17208, -504,9231, -7552, 22267
13480, 17120, -700,9878, -6957, 23232
14076, 17092, -868,10522, -6523, 23939
14488, 16308, 448,11285, -6941, 23218
14280, 17616, -788,11540, -6932, 23781
15888, 18040, -1336,10968, -6282, 26039
16680, 17704, -364,11195, -6651, 27532
17924, 17716, -756,12170, -8050, 28686
18408, 17812, -1976,13583, -9701, 30044
18400, 18136, -3080,14808, -10945, 31898
19304, 18464, -4464,15809, -11984, 32767
20164, 18512, -5252,16275, -12901, 32767
21572, 17920, -5444,16628, -13726, 32767
22864, 16624, -5652,17279, -13953, 32767
24152, 15540, -5460,18168, -13728, 32767
24892, 14656, -6456,19235, -12929, 32767
24916, 13844, -7208,19907, -11563, 32767
25072, 13132, -7796,20776, -10373, 32767
24036, 12488, -8384,21612, -9592, 32767
23012, 12004, -8848,22058, -8985, 32767
22052, 11352, -9292,22244, -8378, 32767
21324, 10460, -9948,22302, -7552, 32767
21208, 9204, -10296,22448, -6351, 32767
20664, 7776, -9672,23053, -5220, 32767
20964, 6732, -9696,23738, -3405, 32767
19948, 6448, -10156,24017, -1697, 32767
19152, 6328, -11292,23660, -157, 32767
18464, 5960, -11868,22906, 1786, 32767
17896, 5504, -12156,21955, 3792, 32767
16704, 4644, -11512,21414, 5804, 32767
15880, 4116, -10576,21394, 7581, 32767
15828, 3732, -10012,21256, 8452, 31244
14368, 3412, -9012,20958, 9608, 30097
13268, 2632, -9040,20365, 10781, 30780
