4084, 15876, 784,-621, 15, 59
4016, 15900, 748,-668, 26, 116
3908, 15944, 876,-748, 0, 142
3868, 15860, 784,-807, -61, 189
3884, 15860, 816,-890, -153, 232
3876, 15972, 1076,-1000, -250, 254
3848, 15896, 1000,-1087, -315, 335
3308, 16124, 2020,-2921, -1487, 1424
3316, 16108, 1876,-3093, -2059, 1478
3384, 15984, 1924,-3310, -2511, 1466
3660, 16000, 2280,-3483, -2816, 1411
3732, 15908, 2732,-3609, -2884, 1268
3692, 16036, 2936,-3757, -2959, 1081
3852, 15760, 2968,-3970, -3103, 860
3664, 15744, 3040,-4090, -3314, 746
3752, 15796, 3012,-4080, -3658, 679
3768, 15868, 2572,-4079, -4062, 586
3872, 15936, 2572,-4110, -4304, 435
4040, 15796, 2668,-4130, -4395, 192
4104, 15604, 2712,-4176, -4302, 1
4284, 15780, 2496,-4273, -4107, -160
4264, 15684, 2484,-4335, -3860, -281
4456, 15596, 2388,-4351, -3583, -401
4520, 15644, 2208,-4332, -3284, -552
4476, 15604, 1840,-4352, -2969, -681
4652, 15580, 1872,-4268, -2539, -879
4640, 15568, 1988,-4249, -2116, -1068
4444, 15600, 1744,-4233, -1606, -1194
4452, 15252, 1624,-4139, -1179, -1356
4452, 15176, 1188,-4078, -740, -1562
4608, 15088, 1140,-3948, -230, -1737
4564, 14752, 1016,-3679, 340, -1837
4564, 14856, 944,-3355, 882, -1954
4508, 14768, 1124,-2917, 903, -2125
4068, 15632, 396,-3525, 1026, -2144
4148, 14996, 1284,-2833, 726, -2087
4124, 14888, 1268,-2552, 160, -2223
4044, 14860, 932,-2145, -284, -2287
4164, 14856, 772,-1732, -827, -2323
4544, 14720, 576,-1328, -1369, -2266
4980, 14480, 288,-822, -1806, -2203
5060, 14244, 88,-198, -2261, -2229
5156, 14216, -148,425, -3007, -2247
5464, 14116, -320,953, -3757, -2173
5836, 14192, -312,1393, -4309, -1997
6204, 14132, -664,1899, -4881, -1732
6636, 14236, -888,2489, -5418, -1391
7144, 14188, -1004,3095, -5899, -954
10552, 16184, 1624,8438, -3699, 3500
10168, 16704, -296,8129, -3010, 5259
9668, 16936, -2352,7311, -2041, 6812
8900, 16728, -2796,6838, -2123, 8096
9108, 16280, -2568,7210, -2618, 9313
9232, 16076, -2012,8263, -3537, 10645
9464, 16204, -1012,9480, -4743, 12231
9624, 16648, -324,10324, -5812, 14097
9848, 16884, -900,10963, -6678, 16038
10120, 17024, -1712,11438, -6858, 17732
11112, 17216, -2760,12086, -7166, 19108
11972, 17476, -2876,13146, -7176, 20080
13012, 17828, -2968,14404, -7307, 21038
14256, 18296, -2360,15571, -7277, 21750
15240, 18648, -2788,16906, -6983, 20906
15060, 19644, -3224,16827, -5008, 23641
16944, 19868, -3772,16614, -2951, 25351
17512, 19988, -4308,16538, -1651, 25630
16528, 19884, -5036,16387, -1273, 25973
15872, 19356, -4940,16463, -1426, 26941
16028, 18792, -4964,16951, -2147, 28001
16400, 18404, -4688,17495, -3154, 28977
17136, 18052, -4980,17773, -4025, 29719
17452, 17508, -5316,17743, -4708, 30509
18240, 16800, -5736,17928, -5025, 31153
19360, 16256, -6596,17970, -4776, 31445
20164, 15644, -7104,17825, -4176, 31448
20360, 14764, -7424,17673, -3432, 31326
19968, 8440, -8112,17100, 489, 32265
21056, 7456, -8828,16975, 2268, 32414
21068, 6528, -9176,16790, 4430, 31606
20356, 5864, -10064,16411, 6730, 31212
19712, 5372, -9484,16533, 8911, 31151
18780, 5160, -9868,16386, 10639, 30945
17672, 4996, -9576,15810, 12453, 31483
17384, 4652, -9228,14970, 14053, 31206
16364, 4104, -9000,14017, 15232, 31054
15716, 3560, -8712,12941, 16198, 30625
14716, 2820, -8812,11824, 16761, 29731
13248, 1500, -7976,11550, 16714, 29240
12184, 780, -7432,11334, 16340, 28357
11152, 48, -7096,11155, 15347, 27371
10480, -492, -6928,10815, 14363, 26350
9912, -848, -6692,10331, 13520, 25324
9268, -1052, -6344,9692, 12809, 24444
8500, -1312, -6240,9072, 12071, 23634
