4080, 15844, 1092,-479, 920, 81
4084, 15804, 1016,-517, 1008, 108
4020, 15824, 1000,-523, 1120, 129
4004, 15928, 888,-549, 1192, 134
3816, 15840, 908,-570, 1263, 173
3684, 15856, 2736,-2400, -982, 837
3988, 15976, 2724,-2434, -1152, 830
3940, 16036, 2808,-2432, -1079, 837
4216, 15976, 2696,-2475, -825, 783
4092, 15808, 2848,-2520, -552, 655
4116, 15844, 2764,-2576, -351, 473
3996, 15716, 2628,-2702, -296, 252
3884, 15664, 2440,-2855, -276, 53
3900, 15484, 2340,-2985, -230, -86
3916, 15512, 2316,-3015, -173, -209
4092, 15420, 2252,-3157, -161, -371
4052, 15300, 2276,-3250, -34, -498
4068, 15364, 2244,-3353, 89, -673
4056, 15304, 2068,-3404, 154, -885
4096, 15148, 2068,-3377, 57, -1129
4104, 15136, 1964,-3289, 15, -1431
4252, 14952, 1548,-3155, -19, -1744
4340, 15060, 1284,-2854, -17, -2055
3956, 16028, 328,-4268, 336, -2499
4308, 14496, 1348,-3229, 210, -2608
4556, 14560, 1264,-2820, 87, -2982
4296, 14576, 1088,-2438, 246, -3220
4408, 14636, 948,-2185, 66, -3282
4560, 14632, 728,-1850, -216, -3459
4716, 14656, 816,-1440, -530, -3650
4692, 14672, 936,-1016, -881, -3786
4916, 14540, 844,-559, -1407, -3828
4984, 14680, 696,-127, -2121, -3657
5280, 14724, 568,229, -3093, -3200
5768, 14796, 792,657, -4347, -2515
6008, 14704, 960,1110, -5677, -1610
6224, 14504, 1036,1710, -6723, -841
6280, 14668, 696,2397, -7391, -82
6512, 14560, 372,3269, -8166, 836
7132, 14900, 532,4109, -8846, 1664
7428, 14496, 1088,5061, -9226, 3069
7444, 14816, 8,5700, -9520, 4004
9444, 15048, -820,6529, -9805, 3195
6128, 16320, -656,6065, -9955, 4258
6444, 16024, -980,6001, -10179, 6305
6860, 15800, -1104,5954, -10515, 8292
7128, 15832, -992,5921, -10893, 9986
7632, 15244, -588,6438, -11282, 11566
8244, 15180, -980,7236, -11898, 12606
8852, 15472, -1088,8109, -12430, 13613
9516, 15856, -1608,8854, -13122, 14898
10700, 16104, -1924,9577, -13475, 16445
12032, 16388, -1860,10402, -13619, 18169
13488, 16684, -1904,11385, -13487, 19831
14736, 17320, -1508,12279, -13001, 21412
15920, 18032, -1848,12799, -11828, 23020
17180, 18356, -2120,13420, -9946, 24334
18600, 17872, -2796,14739, -8630, 23614
17252, 19212, -3628,14473, -5973, 25763
18992, 19488, -3964,13765, -3530, 27706
20164, 19180, -4072,13332, -1665, 28419
20376, 18296, -3600,13658, -297, 28914
19776, 17856, -3832,14187, 363, 29752
19320, 17548, -3952,14314, 515, 30731
18628, 17068, -4116,14321, -89, 31557
17700, 16504, -4424,14011, -1490, 32523
17940, 15356, -4072,14083, -2985, 32767
18684, 14224, -4056,14525, -4159, 32767
