4240, 16336, 2048,-3020, 136, 452
4220, 16300, 2220,-3000, 214, 478
4220, 16096, 2272,-2980, 465, 524
4396, 16124, 2444,-3049, 711, 563
4320, 16068, 2652,-3126, 1021, 656
4156, 16032, 2584,-3223, 1227, 735
3920, 16068, 2592,-3380, 1296, 829
3840, 15988, 2280,-3518, 1277, 913
3704, 15896, 2264,-3604, 1199, 994
3712, 15828, 2188,-3750, 1150, 956
3856, 15732, 2256,-3772, 1192, 949
3772, 15752, 2304,-3811, 1262, 959
3896, 15668, 2312,-3822, 1328, 1008
3940, 15996, 1984,-4073, 1368, 785
3800, 15772, 2380,-4051, 1397, 833
3828, 15552, 2280,-3875, 1238, 827
3832, 15592, 2092,-3866, 1252, 754
3820, 15556, 1980,-3892, 1149, 661
3752, 15508, 2176,-3919, 979, 587
3576, 15440, 1900,-3905, 754, 589
3436, 15300, 1896,-3950, 414, 592
3360, 15332, 1856,-4006, -27, 569
3496, 15068, 1668,-3957, -494, 582
3472, 15072, 1676,-3887, -931, 550
3608, 14912, 1644,-3835, -1170, 535
3792, 14736, 1632,-3693, -1331, 510
4212, 14704, 1852,-3534, -1343, 537
4188, 14628, 1636,-3266, -1213, 522
4360, 14600, 1488,-3052, -1010, 517
4404, 14612, 1476,-2881, -814, 492
4364, 14692, 1260,-2682, -697, 425
4380, 14600, 1332,-2493, -601, 456
4364, 14476, 1132,-2329, -506, 364
4480, 14272, 1204,-2085, -521, 264
4248, 14240, 1060,-1914, -614, 278
4200, 14116, 908,-1657, -786, 222
4368, 13944, 808,-1404, -1028, 100
4220, 13708, 844,-1096, -1395, -55
4236, 13496, 884,-822, -1987, -198
4236, 13268, 896,-595, -2895, -290
4192, 13084, 648,-314, -4024, -416
4204, 13092, 220,121, -5376, -609
4516, 13344, -316,450, -6699, -778
4648, 13760, -884,866, -8032, -875
4692, 14188, -1084,1134, -9562, -868
5144, 14448, -1424,1469, -11249, -785
5488, 14644, -1692,1826, -12766, -578
5868, 14684, -1904,2257, -14288, -270
6508, 14504, -1984,2782, -15848, 100
6972, 14060, -2340,3419, -16938, 638
7444, 13908, -2424,4317, -17605, 1376
8036, 13808, -2444,5413, -18194, 2156
8508, 14012, -2572,6623, -18663, 3019
8976, 13952, -2336,7870, -18984, 3842
8956, 13980, -2228,8976, -19288, 4676
9016, 14384, -2156,9794, -19577, 5575
9000, 14788, -2176,10257, -19864, 6627
9120, 15236, -2580,10711, -20146, 7796
9900, 15708, -3220,11265, -20027, 8902
10668, 16100, -3948,12004, -19432, 9835
11520, 15956, -5112,12692, -18438, 10438
12040, 15780, -5516,13384, -17150, 10704
12688, 15304, -5336,14262, -15320, 10678
13068, 14980, -4600,15296, -13526, 10827
13588, 15052, -4280,16477, -11986, 11277
14232, 15228, -4772,17828, -11187, 11337
14116, 15948, -5172,18808, -9921, 12203
15232, 16560, -5988,19549, -8379, 13250
16036, 17228, -6400,20106, -7045, 14173
16880, 17840, -6484,20400, -5626, 15079
17284, 17904, -6824,20180, -4610, 16256
17936, 17860, -6704,19825, -2768, 17430
18276, 17644, -7028,19520, -1052, 18380
18408, 17324, -7160,19308, -290, 19180
17936, 16860, -7608,19072, 151, 20191
17968, 16448, -7672,18824, -465, 21521
17396, 15788, -7708,18509, -1746, 22874
17048, 14884, -8264,18142, -3515, 24206
17476, 13776, -9108,17862, -5450, 25154
17760, 12708, -9404,17879, -7358, 25625
18048, 11596, -9864,18001, -9159, 25728
18592, 10636, -11104,18155, -9929, 25594
19368, 9816, -11556,18617, -10625, 25505
20396, 9508, -11604,19235, -11038, 25660
21400, 9540, -12788,19434, -10005, 25760
21900, 9552, -13632,19318, -7860, 25747
22076, 9532, -14248,19178, -4896, 25492
21572, 9380, -14600,19273, -1966, 25242
20748, 9244, -14996,19457, 1082, 25310
19840, 8548, -14764,19902, 3922, 25681
18928, 7732, -14536,20648, 6065, 26205
18428, 6952, -15696,21252, 7490, 26241
17324, 6744, -15532,22092, 8137, 26314
16432, 6620, -15604,22750, 8366, 26857
16056, 6500, -16048,22930, 8521, 27149
15376, 6292, -15620,22678, 8526, 26768
14468, 5552, -15212,22591, 8562, 26787
14808, 4752, -14708,22409, 8555, 26531
13432, 4096, -14144,22441, 8769, 26703
14460, 3332, -14040,22542, 9288, 27732
14428, 2628, -13204,22782, 9777, 26353
13824, 2064, -13660,23500, 9843, 26146
11232, 2244, -11768,23484, 10295, 25902
11376, 1712, -11720,23749, 10433, 25707
10976, 1884, -11152,22862, 10734, 24616
9004, 832, -9952,22818, 10352, 23551
8048, -128, -9848,22884, 9782, 23671
8296, -960, -8912,23175, 9725, 24105
8968, -1024, -8116,22654, 10158, 23803
8392, -1280, -7732,21850, 10693, 22897
7796, -1292, -6812,20563, 11371, 21443
6536, -1860, -5304,19887, 11561, 20034
5668, -2164, -4760,19166, 11480, 18997
5172, -1860, -4180,17692, 11446, 17744
4080, -2540, -3280,16655, 10687, 16540
3364, -3304, -2504,16168, 9581, 15702
2956, -3780, -2756,15828, 8562, 14949
2728, -4100, -2928,15523, 7848, 14013
3004, -4236, -3104,15214, 7282, 13002
2960, -4072, -3004,15041, 6719, 11895
3436, -3836, -2580,14729, 6266, 10852
3232, -3820, -2072,14428, 5985, 9754
3096, -3672, -1336,14103, 5395, 8574
2728, -3644, -904,13603, 4686, 7390
2244, -3708, -328,13114, 4164, 6300
2104, -3256, 36,12748, 3565, 5255
1808, -2832, 224,12327, 3092, 4185
1448, -2488, 148,11634, 2828, 2993
1140, -2564, 116,10747, 2585, 1748
952, -3184, 520,9722, 2535, 313
948, -4024, 640,8750, 2216, -1355
752, -4788, 1484,7689, 1553, -3164
988, -5128, 1880,6867, 406, -5054
1128, -5456, 1072,5839, -708, -7015
1180, -5824, 1484,5243, -2421, -9011
992, -5712, 1900,4762, -4111, -11079
1020, -5340, 1552,3914, -5796, -13328
1316, -4780, 1476,2651, -7711, -15562
1424, -4488, 1496,1101, -9645, -17768
2080, -4304, 1728,-596, -11894, -19919
2900, -4292, 1952,-2115, -14105, -22057
3960, -4296, 2208,-3556, -16352, -24153
5012, -4012, 1900,-5182, -18148, -26302
5904, -3484, 1216,-7021, -19630, -28421
6752, -3004, 520,-9083, -20778, -30495
7332, -2700, 184,-11104, -21887, -32636
8044, -2664, -424,-13030, -23366, -32768
8968, -2664, -1004,-14614, -24620, -32768
10000, -2276, -860,-15769, -26486, -32768
11036, -1352, -1068,-17060, -28678, -32768
12152, -40, -2080,-18945, -30391, -32768
12720, 1120, -3256,-21301, -32002, -32768
