3544, 15784, 1024,-788, 5325, 1653
3856, 16084, 1048,-1005, 5083, 1590
3644, 16088, 1184,-1295, 4490, 1561
3120, 16152, 1188,-1601, 3457, 1636
2612, 16064, 1568,-1625, 2409, 1982
2800, 16224, 1380,-1332, 1438, 2273
2904, 16176, 1492,-1280, 511, 2416
3400, 16188, 1304,-1264, -101, 2473
3528, 16108, 1560,-1332, -325, 2354
3500, 15628, 1748,-1167, -161, 1951
2880, 15440, 2400,-812, 198, 1287
2484, 15396, 2628,-574, 452, 432
2096, 15452, 2928,-527, 485, -466
1948, 15716, 3144,-867, 181, -1259
1928, 15988, 3484,-1389, -286, -1814
1912, 15964, 3564,-1935, -709, -2130
2348, 16000, 3900,-2467, -1077, -2319
2624, 15884, 3876,-2923, -1320, -2538
3308, 15780, 3676,-3247, -1339, -2725
3712, 15656, 3776,-3492, -978, -2895
4212, 15776, 3536,-3636, -238, -3074
4496, 16068, 3352,-3777, 834, -3282
4824, 16388, 3256,-3854, 2039, -3514
4720, 16492, 3120,-3850, 3255, -3761
4764, 16544, 2756,-3771, 4333, -4051
4752, 16252, 2692,-3698, 5262, -4366
4400, 15924, 2560,-3611, 5826, -4532
3920, 15708, 2416,-3545, 6019, -4608
3800, 15480, 2216,-3449, 5852, -4569
3596, 15360, 2168,-3295, 5317, -4530
3508, 15280, 1980,-3174, 4559, -4446
3520, 15120, 1640,-3095, 3675, -4344
3712, 14972, 1656,-3010, 2724, -4237
4012, 14920, 1376,-2854, 1783, -4089
4192, 14672, 1320,-2662, 847, -3901
4228, 14544, 916,-2433, -150, -3769
4340, 14608, 748,-2750, -1127, -3585
4580, 13972, 736,-2256, -2327, -3400
4748, 13872, 236,-1837, -3542, -3245
5052, 13728, -92,-1394, -4771, -3152
5424, 13816, -596,-928, -6052, -2979
5688, 13760, -1056,-321, -7624, -2741
5780, 13804, -1200,550, -9644, -2384
5620, 14100, -1520,1258, -12251, -1871
6224, 14468, -2188,1491, -14442, -1384
6576, 14716, -2544,1656, -16413, -82
7152, 14504, -2848,1919, -17809, 1815
8176, 14052, -3476,2502, -18082, 3765
9268, 13720, -4208,3428, -17792, 5505
9976, 13544, -4984,4707, -17170, 7058
10556, 13704, -5380,6019, -16077, 8459
11232, 14160, -5012,7297, -14575, 9770
11392, 14476, -4584,8626, -13135, 11053
11720, 14748, -4548,9735, -11487, 12272
11952, 15072, -4672,10758, -9707, 13405
12032, 15040, -5060,11734, -8157, 14573
12232, 15312, -4828,12688, -7408, 15808
12608, 15668, -4192,13701, -7298, 16981
13040, 15888, -3344,14431, -7521, 18123
13288, 16536, -2640,15029, -7873, 19374
13912, 16884, -2588,15715, -8124, 20803
14716, 17208, -2896,16656, -8631, 21957
16884, 16584, -2436,18197, -10754, 21162
14588, 18620, -1688,19111, -11994, 22719
16996, 19116, -2192,18826, -12603, 25571
20176, 18884, -1876,18975, -12572, 26997
22436, 18932, -1728,19713, -11802, 27465
24236, 19348, -2992,20760, -10072, 27772
25040, 20144, -4340,21716, -7527, 28118
25400, 21120, -5884,22186, -4387, 28848
25300, 21736, -7204,22133, -823, 29551
18492, 18540, -9536,19260, 4775, 32767
18020, 17200, -9444,19121, 4059, 32767
17572, 16176, -9272,19137, 3204, 32767
17016, 15284, -9604,18942, 2528, 32767
16712, 14312, -9632,18758, 1770, 32767
16396, 13072, -10004,18646, 1222, 32767
15888, 12076, -10024,18616, 1018, 32767
15628, 10844, -10428,18642, 925, 32724
14808, 9676, -11384,18828, 602, 32055
14344, 8448, -11648,19177, 851, 31996
14324, 6952, -11296,19836, 1393, 32238
15308, 6016, -11436,20290, 2177, 31978
15144, 5364, -10868,20565, 3461, 31329
14700, 4864, -10660,20583, 5499, 31431
